name,isin,bse,nse,series,url
AXISNIFTY,INF846K01ZL0,,AXISNIFTY,EQ,https://www.moneycontrol.com/india/stockpricequote/axisnifty/axisnifty50etf/AET02
AXISTECETF,INF846K01Y96,0,AXISTECETF,EQ,https://www.moneycontrol.com/india/stockpricequote/axistecetf/axisniftyitetf/ATE04
AXSENSEX,INF846K010Q0,,AXSENSEX,EQ,https://www.moneycontrol.com/india/stockpricequote/axsensex/axisspbsesensexetf/AXSEN14742
AYM Syntex,INE193B01039,508933,AYMSYNTEX,EQ,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/aymsyntex/WS01
Aadhaar Venture,INE063D01030,531611,,,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aadhaarventuresindia/PI37
Aadhar Housing ,INE883F01010,544176,AADHARHFC,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aadharhousingfinance/AHFL
Aadi Industries,INE563D01013,530027,,,https://www.moneycontrol.com/india/stockpricequote/aadiindustries/aadiindustries/AI63
Aagam Capital,INE817D01013,531866,,,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/aagamcapital/PC18
Aakash Explorat,INE087Z01024,0,AAKASH,BE,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aakashexplorationservices/AES01
Aamcol Tools,INE280F01019,505212,,,https://www.moneycontrol.com/india/stockpricequote/machinetools/aamcoltools/AT01
Aananda Lakshmi,INE197R01010,539096,,,https://www.moneycontrol.com/india/stockpricequote/aanandalakshmi/aanandalakshmispinningmills/ALS
Aanchal Ispat,INE322R01014,538812,,,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/aanchalispat/AI36
Aarey Drugs,INE198H01019,524412,AAREYDRUGS,EQ,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aareydrugspharmaceuticals/ADP
Aarnav Fashions,INE750R01016,539562,,,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aarnavfashions/KS18
Aaron Industrie,INE721Z01010,0,AARON,EQ,https://www.moneycontrol.com/india/stockpricequote/aaronindustrie/aaronindustries/AI79
Aartech Solonic,NE01C001018,542580,AARTECH,,https://www.moneycontrol.com/india/stockpricequote/aartechsolonic/aartechsolonics/AS27
Aarti Drugs,INE767A01016,524348,AARTIDRUGS,EQ,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD
Aarti Ind,INE769A01020,524208,AARTIIND,EQ,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
Aarti Surfactan,INE09EO01013,543210,AARTISURF,EQ,https://www.moneycontrol.com/india/stockpricequote/aartisurfactan/aartisurfactants/ASL08
Aarvee Denim,INE273D01019,514274,AARVEEDEN,EQ,https://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE
Aarvi Encon,INE754X01016,0,AARVI,EQ,https://www.moneycontrol.com/india/stockpricequote/diversified/aarviencon/AE19
Aarya Global,INE233H01030,531731,,,https://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/aaryaglobalsharessecurities/KIF02
Aashka Hospital,INE0EAX01014,543346,,,https://www.moneycontrol.com/india/stockpricequote/hospitalhealthcareservices/aashkahospitals/AH04
Aatmaj Health,INE0OB201016,0,AATMAJ,SM,https://www.moneycontrol.com/india/stockpricequote/hospitalhealthcareservices/aatmajhealthcare/AH11
Aban Offshore,INE421A01028,523204,ABAN,BE,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04
Abans Holdings,INE00ZE01026,543712,AHL,EQ,https://www.moneycontrol.com/india/stockpricequote/financenbfc/abansholdings/AH10
Abbott India,INE358A01014,500488,ABBOTINDIA,EQ,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
Abhijit Trading,INE994N01019,539560,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhijittradingcompany/ATC01
