symbol,isin,exchange,date,open,high,low,close,volume,year,month,day,ym
SOLAR IND   ,532725,BSE,2021-12-14,2635.0,2667.55,2554.15,2577.4,2767,2021,12,14,202112
GALLAN METAL,532726,BSE,2021-12-14,72.4,72.5,71.45,71.45,3508,2021,12,14,202112
MALU PAPER  ,532728,BSE,2021-12-14,32.75,32.75,32.3,32.3,489,2021,12,14,202112
UTTAM SUGAR ,532729,BSE,2021-12-14,176.0,180.0,174.95,176.45,3725,2021,12,14,202112
STL GLOBAL  ,532730,BSE,2021-12-14,15.1,16.45,15.0,16.15,7822,2021,12,14,202112
ROHIT FERRO ,532731,BSE,2021-12-14,22.6,22.6,22.6,22.6,5805,2021,12,14,202112
KEWAL KIRAN ,532732,BSE,2021-12-14,1404.0,1446.0,1375.0,1392.1,22852,2021,12,14,202112
SUN TVNET   ,532733,BSE,2021-12-14,535.2,548.7,535.2,546.2,45186,2021,12,14,202112
GODAWARI POW,532734,BSE,2021-12-14,269.0,272.95,265.0,265.8,27570,2021,12,14,202112
RSYSTEMINT  ,532735,BSE,2021-12-14,310.0,315.5,308.75,313.05,9193,2021,12,14,202112
EMKAY GLOB F,532737,BSE,2021-12-14,109.6,110.95,106.5,108.85,725,2021,12,14,202112
TANTIA CONS ,532738,BSE,2021-12-14,20.37,20.38,20.12,20.38,49883,2021,12,14,202112
LOKESH MACH ,532740,BSE,2021-12-14,52.5,54.4,52.0,54.25,4439,2021,12,14,202112
KAMDHENU    ,532741,BSE,2021-12-14,237.2,237.65,230.8,231.45,848,2021,12,14,202112
PAUSHAK LTD ,532742,BSE,2021-12-14,9250.0,9479.0,9200.0,9258.05,1072,2021,12,14,202112
GTN TEXTILE ,532744,BSE,2021-12-14,12.23,12.84,12.23,12.84,1812,2021,12,14,202112
INDICAP     ,532745,BSE,2021-12-14,32.7,33.9,32.55,33.1,6370,2021,12,14,202112
PRIME FOCUS ,532748,BSE,2021-12-14,72.15,75.0,71.6,71.8,2091,2021,12,14,202112
ALLCARGO    ,532749,BSE,2021-12-14,348.0,368.85,348.0,363.85,19032,2021,12,14,202112
EASUNREYRL  ,532751,BSE,2021-12-14,3.85,3.85,3.84,3.85,80555,2021,12,14,202112
GMR INFRASTR,532754,BSE,2021-12-14,43.0,43.4,41.75,43.15,1755893,2021,12,14,202112
TECH MAH    ,532755,BSE,2021-12-14,1634.95,1662.7,1627.0,1643.15,95588,2021,12,14,202112
MAHINDCIE   ,532756,BSE,2021-12-14,244.0,244.05,237.7,238.9,15489,2021,12,14,202112
VOLTAMP TRAN,532757,BSE,2021-12-14,2053.65,2163.2,2053.65,2121.1,1889,2021,12,14,202112
ATLANTA     ,532759,BSE,2021-12-14,18.95,19.85,18.55,19.5,3422,2021,12,14,202112
DEEPENR     ,532760,BSE,2021-12-14,43.55,43.55,41.3,41.85,1874,2021,12,14,202112
HOV SERVICES,532761,BSE,2021-12-14,62.95,68.0,60.0,66.6,23773,2021,12,14,202112
ACTION CONST,532762,BSE,2021-12-14,220.05,231.9,220.05,228.3,68220,2021,12,14,202112
GEECEE      ,532764,BSE,2021-12-14,149.0,151.05,147.7,149.1,3559,2021,12,14,202112
RICHA IND   ,532766,BSE,2021-12-14,2.73,2.73,2.73,2.73,13744,2021,12,14,202112
GAYATRI PROJ,532767,BSE,2021-12-14,33.0,34.3,33.0,33.95,62775,2021,12,14,202112
FIEM INDS   ,532768,BSE,2021-12-14,1205.2,1225.45,1171.45,1177.25,2593,2021,12,14,202112
JHS SVEN    ,532771,BSE,2021-12-14,23.5,24.45,23.5,23.9,24742,2021,12,14,202112
DCBBANK     ,532772,BSE,2021-12-14,87.55,87.8,85.6,85.8,69801,2021,12,14,202112
GLOBAL VECT ,532773,BSE,2021-12-14,53.35,53.8,52.2,53.5,1399,2021,12,14,202112
INSPIRISYS  ,532774,BSE,2021-12-14,67.9,71.05,66.9,67.15,44078,2021,12,14,202112
GTL INFRAST ,532775,BSE,2021-12-14,1.98,1.99,1.91,1.99,117613057,2021,12,14,202112
SHIVAM AUTO ,532776,BSE,2021-12-14,27.9,28.2,26.15,26.2,18268,2021,12,14,202112
INFO EDGE   ,532777,BSE,2021-12-14,5480.0,5504.15,5319.2,5367.55,85662,2021,12,14,202112
TORNT POWER ,532779,BSE,2021-12-14,580.0,584.85,570.7,581.1,27649,2021,12,14,202112
PARSVNATH   ,532780,BSE,2021-12-14,25.0,26.75,23.85,25.6,801984,2021,12,14,202112
SUTLEJ TEXT ,532782,BSE,2021-12-14,77.0,83.85,76.65,82.8,90419,2021,12,14,202112
DAAWAT      ,532783,BSE,2021-12-14,73.9,81.75,72.0,80.8,1874874,2021,12,14,202112
SOBHA       ,532784,BSE,2021-12-14,870.1,870.1,845.65,852.1,19304,2021,12,14,202112
RUCHIRA PAP ,532785,BSE,2021-12-14,79.4,80.3,77.5,78.85,6519,2021,12,14,202112
TANLA       ,532790,BSE,2021-12-14,1864.0,1931.35,1821.0,1931.35,87284,2021,12,14,202112
ZEEMEDIA    ,532794,BSE,2021-12-14,12.57,13.05,12.01,13.05,790230,2021,12,14,202112
SITINET     ,532795,BSE,2021-12-14,3.21,3.21,3.0,3.21,6755359,2021,12,14,202112
LUMAX TECH  ,532796,BSE,2021-12-14,165.5,165.5,158.5,160.35,9133,2021,12,14,202112
AUTOIND     ,532797,BSE,2021-12-14,56.25,63.2,56.25,60.65,2778,2021,12,14,202112
NTWK MED INV,532798,BSE,2021-12-14,105.0,113.3,104.75,108.8,836661,2021,12,14,202112
HUBTOWN     ,532799,BSE,2021-12-14,41.3,41.3,41.3,41.3,8550,2021,12,14,202112
TV18BRDCST  ,532800,BSE,2021-12-14,51.0,55.8,50.75,53.8,4701626,2021,12,14,202112
CAMBRIDGE   ,532801,BSE,2021-12-14,83.0,83.0,72.0,74.65,44986,2021,12,14,202112
TECHNOCRAFT ,532804,BSE,2021-12-14,828.35,845.0,821.6,835.0,697,2021,12,14,202112
REDINGTON   ,532805,BSE,2021-12-14,153.7,157.25,152.3,155.0,251741,2021,12,14,202112
AI CHAMPDNY ,532806,BSE,2021-12-14,18.0,18.0,17.1,17.14,835,2021,12,14,202112
CINELINE    ,532807,BSE,2021-12-14,92.55,92.55,90.05,90.85,1499,2021,12,14,202112
PGIL        ,532808,BSE,2021-12-14,365.65,373.65,360.95,363.95,5355,2021,12,14,202112
FSL         ,532809,BSE,2021-12-14,172.5,174.9,170.0,172.1,189133,2021,12,14,202112
POWER FINAN ,532810,BSE,2021-12-14,123.1,124.0,122.1,123.8,133662,2021,12,14,202112
AHLUWALIA CO,532811,BSE,2021-12-14,412.0,412.1,406.4,411.15,312,2021,12,14,202112
C & C CONSTR,532813,BSE,2021-12-14,4.69,4.69,4.69,4.69,48280,2021,12,14,202112
INDIAN BANK ,532814,BSE,2021-12-14,159.0,159.0,153.6,154.45,120035,2021,12,14,202112
SMS PHARMACE,532815,BSE,2021-12-14,121.0,128.7,121.0,125.25,4054,2021,12,14,202112
ORIENTAL    ,532817,BSE,2021-12-14,11.3,12.0,10.8,11.32,72540,2021,12,14,202112
MINDTREE LTD,532819,BSE,2021-12-14,4585.4,4636.0,4537.0,4623.65,22916,2021,12,14,202112
ELAND       ,532820,BSE,2021-12-14,7.26,7.26,6.92,7.26,265716,2021,12,14,202112
